data_hora,regiao,tipo,idh,indice_pobreza_pct,construcao_irregular_pct,inclinacao_graus,precipitacao_mm,umidade_solo_pct,score_risco,status_ia,alerta_sns
2026-06-02 15:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,28.1,15.5,21.1,Normal,[SQS] Monitoramento estável.
2026-06-02 15:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,28.1,13.9,26.0,Normal,[SQS] Monitoramento estável.
2026-06-02 15:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,28.1,79.0,71.3,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Comunidade Encosta Sul.
2026-06-02 16:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,21.7,35.7,55.2,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Comunidade Encosta Sul.
2026-06-02 16:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,21.7,31.3,22.6,Normal,[SQS] Monitoramento estável.
2026-06-02 16:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,21.7,53.6,34.7,Normal,[SQS] Monitoramento estável.
2026-06-02 17:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,7.4,82.6,62.1,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Comunidade Encosta Sul.
2026-06-02 17:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,7.4,88.8,32.7,Normal,[SQS] Monitoramento estável.
2026-06-02 17:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,7.4,23.7,18.6,Normal,[SQS] Monitoramento estável.
2026-06-02 18:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,53.9,92.5,57.1,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Bairro Nobre Vale.
2026-06-02 18:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,53.9,93.8,62.9,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Horta Familiar Leste.
2026-06-02 18:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,53.9,78.2,84.0,CRÍTICO - Evacuação,[SNS] Risco eminente na Comunidade Encosta Sul! Deslizamento provável.
2026-06-02 19:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,21.0,34.2,23.2,Normal,[SQS] Monitoramento estável.
2026-06-02 19:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,21.0,51.1,33.6,Normal,[SQS] Monitoramento estável.
2026-06-02 19:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,21.0,75.8,66.8,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Comunidade Encosta Sul.
2026-06-02 20:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,43.4,40.1,36.1,Normal,[SQS] Monitoramento estável.
2026-06-02 20:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,43.4,78.9,53.2,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Horta Familiar Leste.
2026-06-02 20:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,43.4,93.7,83.4,CRÍTICO - Evacuação,[SNS] Risco eminente na Comunidade Encosta Sul! Deslizamento provável.
2026-06-02 21:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,52.0,61.5,46.9,Normal,[SQS] Monitoramento estável.
2026-06-02 21:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,52.0,34.4,44.1,Normal,[SQS] Monitoramento estável.
2026-06-02 21:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,52.0,85.9,85.4,CRÍTICO - Evacuação,[SNS] Risco eminente na Comunidade Encosta Sul! Deslizamento provável.
2026-06-02 22:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,5.1,71.2,57.5,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Comunidade Encosta Sul.
2026-06-02 22:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,5.1,39.5,22.2,Normal,[SQS] Monitoramento estável.
2026-06-02 22:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,5.1,65.5,24.6,Normal,[SQS] Monitoramento estável.
2026-06-02 23:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,58.8,59.9,55.2,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Horta Familiar Leste.
2026-06-02 23:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,58.8,52.3,78.7,CRÍTICO - Evacuação,[SNS] Risco eminente na Comunidade Encosta Sul! Deslizamento provável.
2026-06-02 23:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,58.8,80.9,56.1,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Bairro Nobre Vale.
2026-06-03 00:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,53.6,60.1,47.2,Normal,[SQS] Monitoramento estável.
2026-06-03 00:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,53.6,89.3,61.4,ALERTA - Atenção,[SNS] Chuva e saturação elevadas na Horta Familiar Leste.
2026-06-03 00:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,53.6,83.8,85.5,CRÍTICO - Evacuação,[SNS] Risco eminente na Comunidade Encosta Sul! Deslizamento provável.
2026-06-03 01:18:20,Bairro Nobre Vale,Urbana,0.89,5.0,2.0,5,30.8,20.9,24.1,Normal,[SQS] Monitoramento estável.
2026-06-03 01:18:20,Horta Familiar Leste,Agrícola,0.72,25.0,15.0,12,30.8,27.4,31.4,Normal,[SQS] Monitoramento estável.
2026-06-03 01:18:20,Comunidade Encosta Sul,Urbana,0.61,42.0,78.0,45,30.8,94.3,77.3,CRÍTICO - Evacuação,[SNS] Risco eminente na Comunidade Encosta Sul! Deslizamento provável.
